account,date,total_pnl,total_volume,total_fee,trade_count,buy_count,sell_count,avg_exec_price,coins_traded,net_pnl,buy_ratio
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-03,2480.902379,219900.91,53.50649472,110,60,50,19.572636363636366,1,2427.3958842800002,0.5455
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-04,-3169.3554679999997,114173.17,20.67737314,65,55,10,16.268692307692305,1,-3190.0328411399996,0.8462
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-07,0.0,55481.42,1.26292469,37,37,0,15.374135135135134,1,-1.26292469,1.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-08,2099.019688,57580.5,20.153151,47,0,47,15.963106382978722,1,2078.866537,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-09,656.540742,173973.68,22.11483517,65,8,57,15.122876923076923,1,634.42590683,0.1231
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-10,-1065.797583,176292.61,41.25995296,53,1,52,15.026735849056605,1,-1107.05753596,0.0189
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-12,1591.753271,115769.39,20.961068,53,1,52,13.870905660377359,1,1570.792203,0.0189
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-13,-2315.377191,115001.41,20.268314959999998,27,17,10,12.514592592592592,1,-2335.6455059600003,0.6296
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-28,0.0,61324.83,1.54451693,42,42,0,13.897761904761905,1,-1.54451693,1.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-29,-5018.466447,56306.5,19.707219000000002,97,0,97,12.764144329896908,1,-5038.173666,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-31,716.143949,113285.54,20.92763202,155,72,83,12.42447741935484,1,695.21631698,0.4645
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-03,0.0,54768.6,0.456405,1,1,0,12.0,1,-0.456405,1.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-15,0.0,16.37,0.00035346,1,1,0,16.211,1,-0.00035346,1.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-16,-95.985744,68679.46,24.037758,88,0,88,15.055318181818182,1,-120.023502,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-17,-133.41237,91365.76,31.977951,125,60,65,7.5039216,2,-165.390321,0.48
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-18,951.934443,528313.42,129.33009467,689,312,377,17.063288824383164,2,822.60434833,0.4528
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-19,371.503,226906.97,51.02067149,411,122,289,17.105413625304134,2,320.48232851,0.2968
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-20,-1892.58947,581052.14,119.87578636,603,297,306,17.957485903814263,2,-2012.4652563599998,0.4925
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-21,3434.689308,86106.24,30.137128,97,0,97,18.439154639175257,1,3404.55218,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-23,2654.14315,1472966.88,197.963062,568,219,349,1786.2909903169013,6,2456.180088,0.3856
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-24,1867.252909,1142252.43,188.105048,680,346,334,117.46892911764705,6,1679.147861,0.5088
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-25,1969.39321,1248337.1199999999,197.03662328000001,330,162,168,270.0055418181818,5,1772.35658672,0.4909
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-26,-4648.8710550000005,96183.93,16.916102,338,0,338,18.185494082840236,1,-4665.787157000001,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-27,0.0,96167.16,0.267131,67,67,0,18.0,1,-0.267131,1.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-30,5179.772745,101346.88,30.404024,83,0,83,18.970975903614455,1,5149.368721,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-05-01,1243.853569,203876.44,31.0304917,250,169,81,19.37724,1,1212.8230773,0.676
0x271b280974205ca63b716753467d5a371de622ab,2024-07-15,-1.0,30351.0,10.197932,5,2,3,151.754,1,-11.197932,0.4
0x271b280974205ca63b716753467d5a371de622ab,2024-11-29,1584.342755,1584.35,0.53234,1,0,1,4.23,1,1583.810415,0.0
0x271b280974205ca63b716753467d5a371de622ab,2024-12-05,208.81746,158123.95,34.129711,4,3,1,3859.3500000000004,1,174.687749,0.75
0x271b280974205ca63b716753467d5a371de622ab,2025-04-09,16706.884912,4886973.24,1181.135135,797,275,522,4598.781944792973,3,15525.749777,0.345
0x271b280974205ca63b716753467d5a371de622ab,2025-04-10,13264.043303999999,7423746.26,2463.061921,339,231,108,57437.580442477876,3,10800.981382999998,0.6814
0x271b280974205ca63b716753467d5a371de622ab,2025-04-19,5942.547242,2716221.67,720.081313,313,40,273,69.87213418530351,2,5222.465929,0.1278
0x271b280974205ca63b716753467d5a371de622ab,2025-04-20,8277.307357,2657908.25,615.664567,863,418,445,1152.9718458864427,4,7661.64279,0.4844
0x271b280974205ca63b716753467d5a371de622ab,2025-04-21,2638.012587,693974.34,118.03440499999999,353,61,292,1788.4748050141645,2,2519.9781820000003,0.1728
0x271b280974205ca63b716753467d5a371de622ab,2025-04-22,-19037.340561,4817869.23,1377.855618,594,233,361,13751.586594781145,4,-20415.196179000002,0.3923
0x271b280974205ca63b716753467d5a371de622ab,2025-04-23,-108176.9187,9394438.39,2487.052566,469,236,233,58437.446550746274,3,-110663.971266,0.5032
0x271b280974205ca63b716753467d5a371de622ab,2025-04-24,8157.112326,1092249.57,273.237342,70,67,3,5530.608285714286,3,7883.874984,0.9571
0x271b280974205ca63b716753467d5a371de622ab,2025-04-25,0.0,0.17,0.0,1,0,1,1770.2,1,0.0,0.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-16,159.100072,34754.56,10.268876,93,49,44,1734.0575845053763,10,148.831196,0.5269
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-17,161.289904,33584.67,10.251629,95,45,50,4529.705327031579,11,151.038275,0.4737
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-18,147.410285,108044.6,37.465806,162,71,91,7695.956849493827,15,109.94447899999999,0.4383
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-19,233.36546,190840.29,66.816663,213,115,98,9532.429555676057,18,166.548797,0.5399
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-20,-316.245208,874868.16,298.312315,407,188,219,4020.9424225773955,16,-614.557523,0.4619
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-21,780.001314,325137.18,111.648962,446,223,223,2495.4443368878924,10,668.352352,0.5
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-22,141.21958999999998,182730.29,62.202151,433,208,225,2050.2386778799078,13,79.01743899999998,0.4804
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-23,673.6312,52019.64,17.776025,156,76,80,2959.9620601666666,10,655.855175,0.4872
